,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,05/20/2025,,AS010606,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010607,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,05/21/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,06/23/2025,,AS010666,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,06/23/2025,,AS010667,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,07/02/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,07/24/2025,,AS010727,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,07/24/2025,,AS010728,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,08/05/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010758,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"4,000.00",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010759,,,,,,Accounts Receivable,,Sal:RS,,SM,,Paid,,,,,,,,"2,000.00",,"6,000.00",,0.00,,,,,,0.00
,,,,Payment,,09/01/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,000.00",,"2,000.00",,0.00,,,,,,0.00
