,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Payment,,09/09/2024,,355854,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,185.50",,"29,841.92",,0.00,,,,,,0.00
,,,,Invoice,,09/19/2024,,AS010284,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,122.96",,"51,964.88",,0.00,,,,,,0.00
,,,,Invoice,,09/19/2024,,AS010285,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,062.53",,"60,027.41",,0.00,,,,,,0.00
,,,,Payment,,10/04/2024,,423425,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-29,841.92",,"30,185.49",,0.00,,,,,,0.00
,,,,Payment,,10/04/2024,,493554,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,185.49",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/22/2024,,AS010320,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,787.22",,"7,787.22",,0.00,,,,,,0.00
,,,,Invoice,,10/22/2024,,AS010321,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,367.55",,"29,154.77",,0.00,,,,,,0.00
,,,,Invoice,,11/12/2024,,AS010350,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,349.56",,"50,504.33",,0.00,,,,,,0.00
,,,,Invoice,,11/12/2024,,AS010351,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,780.66",,"58,284.99",,0.00,,,,,,0.00
,,,,Invoice,,12/16/2024,,AS010395,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,716.43",,"66,001.42",,0.00,,,,,,0.00
,,,,Invoice,,12/16/2024,,AS010396,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,173.29",,"87,174.71",,0.00,,,,,,0.00
,,,,Payment,,01/01/2025,,582359,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,154.77",,"58,019.94",,0.00,,,,,,0.00
,,,,Payment,,01/01/2025,,659905,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,130.22",,"28,889.72",,0.00,,,,,,0.00
,,,,Invoice,,01/16/2025,,AS010432,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"106,200.00",,"135,089.72",,0.00,,,,,,0.00
,,,,Invoice,,01/20/2025,,AS010439,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,619.35",,"156,709.07",,0.00,,,,,,0.00
,,,,Invoice,,01/20/2025,,AS010440,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,878.99",,"164,588.06",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2025,,AS010505,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,839.66",,"172,427.72",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2025,,AS010506,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,511.44",,"193,939.16",,0.00,,,,,,0.00
,,,,Payment,,03/05/2025,,660081,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-28,889.72",,"165,049.44",,0.00,,,,,,0.00
,,,,Payment,,03/05/2025,,660080,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-106,200.00",,"58,849.44",,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010536,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,583.38",,"80,432.82",,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010537,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,865.88",,"88,298.70",,0.00,,,,,,0.00
,,,,Invoice,,04/24/2025,,AS010580,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,944.54",,"96,243.24",,0.00,,,,,,0.00
,,,,Invoice,,04/24/2025,,AS010581,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,799.21",,"118,042.45",,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010608,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,799.21",,"139,841.66",,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010609,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,944.54",,"147,786.20",,0.00,,,,,,0.00
,,,,Payment,,05/20/2025,,852605,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,351.10",,"118,435.10",,0.00,,,,,,0.00
,,,,Payment,,05/20/2025,,852628,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,498.34",,"88,936.76",,0.00,,,,,,0.00
,,,,Invoice,,06/16/2025,,AS010650,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,944.54",,"96,881.30",,0.00,,,,,,0.00
,,,,Invoice,,06/16/2025,,AS010651,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,799.21",,"118,680.51",,0.00,,,,,,0.00
,,,,Payment,,07/07/2025,,962138,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-59,193.01",,"59,487.50",,0.00,,,,,,0.00
,,,,Payment,,07/07/2025,,962155,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,743.75",,"29,743.75",,0.00,,,,,,0.00
,,,,Invoice,,07/19/2025,,AS010717,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,907.14",,"51,650.89",,0.00,,,,,,0.00
,,,,Invoice,,07/19/2025,,AS010718,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,983.87",,"59,634.76",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010762,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,889.14",,"81,523.90",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010761,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"7,977.32",,"89,501.22",,0.00,,,,,,0.00
,,,,Payment,,08/21/2025,,136993,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-59,634.76",,"29,866.46",,0.00,,,,,,0.00
,,,,Invoice,,09/23/2025,,AS010817,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"21,979.08",,"51,845.54",,0.00,,,,,,0.00
,,,,Invoice,,09/23/2025,,AS010818,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,010.09",,"59,855.63",,0.00,,,,,,0.00
,,,,Payment,,09/30/2025,,137050,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,866.46",,"29,989.17",,0.00,,,,,,0.00
,,,,Invoice,,10/17/2025,,AS010851,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,029.76",,"38,018.93",,0.00,,,,,,0.00
,,,,Invoice,,10/17/2025,,AS010852,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,033.03",,"60,051.96",,0.00,,,,,,0.00
,,,,Payment,,10/23/2025,,232715,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-29,989.17",,"30,062.79",,0.00,,,,,,0.00
,,,,Invoice,,11/18/2025,,AS010910,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,338.79",,"52,401.58",,0.00,,,,,,0.00
,,,,Invoice,,11/18/2025,,AS010911,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,141.19",,"60,542.77",,0.00,,,,,,0.00
,,,,Payment,,11/19/2025,,232821,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,062.79",,"30,479.98",,0.00,,,,,,0.00
,,,,Invoice,,12/17/2025,,AS010965,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,500.68",,"52,980.66",,0.00,,,,,,0.00
,,,,Invoice,,12/17/2025,,AS010966,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,200.19",,"61,180.85",,0.00,,,,,,0.00
,,,,Payment,,12/17/2025,,318275,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,479.98",,"30,700.87",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011018,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,200.19",,"38,901.06",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011019,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,500.68",,"61,401.74",,0.00,,,,,,0.00
,,,,Payment,,01/28/2026,,318339,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,700.87",,"30,700.87",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011057,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,187.08",,"38,887.95",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011058,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,464.70",,"61,352.65",,0.00,,,,,,0.00
,,,,Payment,,02/18/2026,,429800,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,700.87",,"30,651.78",,0.00,,,,,,0.00
,,,,Invoice,,03/20/2026,,AS011107,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"22,644.57",,"53,296.35",,0.00,,,,,,0.00
,,,,Invoice,,03/20/2026,,AS011108,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"8,252.63",,"61,548.98",,0.00,,,,,,0.00
,,,,Payment,,04/02/2026,,543573,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,651.78",,"30,897.20",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011151,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,9,,,,"23,022.27",,"53,919.47",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011152,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,9,,,,"8,390.27",,"62,309.74",,0.00,,,,,,0.00
,,,,Payment,,04/22/2026,,644918,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-30,897.20",,"31,412.54",,0.00,,,,,,0.00
,Total LANKA COMMODITY BROKERS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,176.53",,"31,412.54",,0.00,,,,,,
,LANKA MOUNT CASTLE (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,883.50",,,,,,,,
,,,,Invoice,,01/26/2024,,AS010031,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,825,,,,"18,968.50",,"214,852.00",,0.00,,,,,,0.00
,,,,Payment,,02/12/2024,,526766/526984,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-32,762.50",,"182,089.50",,0.00,,,,,,0.00
,,,,Invoice,,02/21/2024,,AS010054,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,799,,,,"18,629.25",,"200,718.75",,0.00,,,,,,0.00
,,,,Invoice,,03/18/2024,,AS010081,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,773,,,,"18,172.00",,"218,890.75",,0.00,,,,,,0.00
,,,,Invoice,,04/20/2024,,AS010105,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"23,010.00",,"241,900.75",,0.00,,,,,,0.00
,,,,Invoice,,04/22/2024,,AS010108,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,995.00",,"259,895.75",,0.00,,,,,,0.00
,,,,Invoice,,05/02/2024,,AS010118,,,,,,Accounts Receivable,,,,AS,,Paid,,,,,,,,"25,370.00",,"285,265.75",,0.00,,,,,,0.00
,,,,Payment,,05/08/2024,,526988,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-16,600.00",,"268,665.75",,0.00,,,,,,0.00
,,,,Payment,,05/15/2024,,526996,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-16,537.50",,"252,128.25",,0.00,,,,,,0.00
,,,,Invoice,,05/16/2024,,AS010137,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,024.50",,"270,152.75",,0.00,,,,,,0.00
,,,,Invoice,,06/03/2024,,AS010159,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"32,450.00",,"302,602.75",,0.00,,,,,,0.00
,,,,Invoice,,06/19/2024,,AS010184,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,245.75",,"320,848.50",,0.00,,,,,,0.00
,,,,Invoice,,07/23/2024,,AS010221,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,142.50",,"338,991.00",,0.00,,,,,,0.00
,,,,Invoice,,08/21/2024,,AS010256,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,936.00",,"356,927.00",,0.00,,,,,,0.00
,,,,Payment,,09/04/2024,,659244,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-66,375.00",,"290,552.00",,0.00,,,,,,0.00
,,,,Invoice,,09/19/2024,,AS010286,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,142.50",,"308,694.50",,0.00,,,,,,0.00
,,,,Payment,,09/26/2024,,659397,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-18,024.50",,"290,670.00",,0.00,,,,,,0.00
,,,,Payment,,09/26/2024,,659413,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-50,695.75",,"239,974.25",,0.00,,,,,,0.00
,,,,Invoice,,10/22/2024,,AS010322,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,523.00",,"257,497.25",,0.00,,,,,,0.00
,,,,Payment,,11/04/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-18,142.50",,"239,354.75",,0.00,,,,,,0.00
,,,,Invoice,,11/12/2024,,AS010352,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,508.25",,"256,863.00",,0.00,,,,,,0.00
,,,,Payment,,12/12/2024,,963352,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-53,601.50",,"203,261.50",,0.00,,,,,,0.00
,,,,Invoice,,12/16/2024,,AS010397,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,363.70",,"220,625.20",,0.00,,,,,,0.00
,,,,Invoice,,01/20/2025,,AS010437,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"9,440.00",,"230,065.20",,0.00,,,,,,0.00
,,,,Invoice,,01/20/2025,,AS010441,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,729.50",,"247,794.70",,0.00,,,,,,0.00
,,,,Payment,,01/22/2025,,983328,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-17,508.25",,"230,286.45",,0.00,,,,,,0.00
,,,,Payment,,02/11/2025,,983366,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-17,363.70",,"212,922.75",,0.00,,,,,,0.00
,,,,Invoice,,02/25/2025,,AS010499,,,,,,Accounts Receivable,,,,AS,,Paid,,,,,,,,"8,850.00",,"221,772.75",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2025,,AS010508,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,641.00",,"239,413.75",,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010538,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,700.00",,"257,113.75",,0.00,,,,,,0.00
,,,,Payment,,03/27/2025,,983511,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-17,641.00",,"239,472.75",,0.00,,,,,,0.00
,,,,Payment,,03/28/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-27,169.50",,"212,303.25",,0.00,,,,,,0.00
,,,,Payment,,04/09/2025,,652685,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-17,700.00",,"194,603.25",,0.00,,,,,,0.00
,,,,Invoice,,04/24/2025,,AS010582,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,877.00",,"212,480.25",,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010610,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,345,,,,"17,877.00",,"230,357.25",,0.00,,,,,,0.00
,,,,Payment,,06/04/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-8,850.00",,"221,507.25",,0.00,,,,,,0.00
,,,,Payment,,06/04/2025,,731745,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-17,877.00",,"203,630.25",,0.00,,,,,,0.00
,,,,Invoice,,06/16/2025,,AS010652,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,318,,,,"17,877.00",,"221,507.25",,0.00,,,,,,0.00
,,,,Invoice,,07/19/2025,,AS010719,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,965.50",,"239,472.75",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010763,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"17,950.75",,"257,423.50",,0.00,,,,,,0.00
,,,,Invoice,,09/23/2025,,AS010819,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,024.50",,"275,448.00",,0.00,,,,,,0.00
,,,,Payment,,10/15/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-17,965.50",,"257,482.50",,0.00,,,,,,0.00
,,,,Invoice,,10/17/2025,,AS010854,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,068.75",,"275,551.25",,0.00,,,,,,0.00
,,,,Payment,,10/22/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-17,950.75",,"257,600.50",,0.00,,,,,,0.00
,,,,Payment,,11/06/2025,,884029,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-18,024.50",,"239,576.00",,0.00,,,,,,0.00
,,,,Payment,,11/17/2025,,884056,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-18,068.75",,"221,507.25",,0.00,,,,,,0.00
,,,,Invoice,,11/18/2025,,AS010909,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,319.50",,"239,826.75",,0.00,,,,,,0.00
,,,,Invoice,,12/17/2025,,AS010968,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,452.25",,"258,279.00",,0.00,,,,,,0.00
,,,,Payment,,01/07/2026,,Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-18,319.50",,"239,959.50",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011020,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,99,,,,"18,452.25",,"258,411.75",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011059,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,73,,,,"18,422.75",,"276,834.50",,0.00,,,,,,0.00
,,,,Invoice,,03/13/2026,,AS011094,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"18,540.75",,"295,375.25",,0.00,,,,,,0.00
,,,,Payment,,03/30/2026,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-18,452.25",,"276,923.00",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011150,,,,,,Accounts Receivable,,Mnt,,AS,,Unpaid,,,,9,,,,"18,880.00",,"295,803.00",,0.00,,,,,,0.00
,,,,Payment,,04/27/2026,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-18,540.75",,"277,262.25",,0.00,,,,,,0.00
,Total LANKA MOUNT CASTLE (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,378.75",,"277,262.25",,0.00,,,,,,
,Latest Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,06/01/2024,,AS010155,,,,,,Accounts Receivable,,Sal:EC,,AR,,Paid,,,,,,,,"3,900.00",,"3,900.00",,0.00,,,,,,0.00
,,,,Payment,,06/03/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-3,900.00",,0.00,,0.00,,,,,,0.00
,Total Latest Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Leema Creations (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Leema Creations (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Legalinc Srilanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,000.00",,,,,,,,
,,,,Payment,,02/06/2024,,844009,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-81,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011148,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"14,160.00",,"14,160.00",,0.00,,,,,,0.00
,Total Legalinc Srilanka,,,,,,,,,,,,,,,,,,,,,,,,,,,"-66,840.00",,"14,160.00",,0.00,,,,,,
,LEOsys Corporation (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,000.00",,,,,,,,
,,,,Payment,,01/23/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-57,000.00",,0.00,,0.00,,,,,,0.00
,Total LEOsys Corporation (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"-57,000.00",,0.00,,0.00,,,,,,
,LEOsys Corporation (Pvt) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/09/2024,,AS010246,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"64,900.00",,"64,900.00",,0.00,,,,,,0.00
,,,,Payment,,08/13/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-64,900.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/18/2025,,AS010915,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"324,972.00",,"324,972.00",,0.00,,,,,,0.00
,,,,Payment,,11/18/2025,,222498,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-324,972.00",,0.00,,0.00,,,,,,0.00
,Total LEOsys Corporation (Pvt) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Liyakta Office Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/27/2025,,AS010455,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"377,600.00",,"377,600.00",,0.00,,,,,,0.00
,,,,Payment,,01/27/2025,,106568,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-377,600.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/05/2025,,AS010517,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"155,288.00",,"155,288.00",,0.00,,,,,,0.00
,,,,Payment,,03/05/2025,,001415,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-155,288.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/01/2025,,AS010554,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"155,288.00",,"155,288.00",,0.00,,,,,,0.00
,,,,Payment,,04/01/2025,,106806,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-155,288.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010612,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"251,340.00",,"251,340.00",,0.00,,,,,,0.00
,,,,Payment,,07/15/2025,,001494,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-251,340.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/18/2026,,AS011069,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"451,940.00",,"451,940.00",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2026,,AS011076,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"136,880.00",,"588,820.00",,0.00,,,,,,0.00
,,,,Payment,,04/09/2026,,108274,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-451,940.00",,"136,880.00",,0.00,,,,,,0.00
,,,,Payment,,04/09/2026,,108272,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-136,880.00",,0.00,,0.00,,,,,,0.00
,Total Liyakta Office Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,LIZZY-B CANADA (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,06/13/2025,,AS010645,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"56,640.00",,"56,640.00",,0.00,,,,,,0.00
,,,,Payment,,07/15/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-56,640.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/14/2025,,AS010905,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"177,000.00",,"177,000.00",,0.00,,,,,,0.00
,,,,Payment,,12/09/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-177,000.00",,0.00,,0.00,,,,,,0.00
,Total LIZZY-B CANADA (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,LK Domain Registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/22/2024,,AS010055,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"39,530.00",,"39,530.00",,0.00,,,,,,0.00
,,,,Payment,,02/22/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-39,530.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/22/2024,,AS010089,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"288,628.00",,"288,628.00",,0.00,,,,,,0.00
,,,,Payment,,03/30/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-288,628.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/30/2024,,AS010095,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"1,641,380.00",,"1,641,380.00",,0.00,,,,,,0.00
,,,,Payment,,04/02/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-1,641,380.00",,0.00,,0.00,,,,,,0.00
