Type,Date,Num,Name,Item,Account,Rep,Sales Tax Code,Qty,Sales Price,Amount
Invoice,01/29/2026,AS011037,Softlogic Information Technologies (Pvt),Synology:2 U Sliding Rail Kit,Synology,A,Taxable Sales,1.00,,
Invoice,01/30/2026,AS011038,Information Technologies & Enterprise Sol,Synology:DS425+ (Synology DiskStation DS425+ 4 Bay),Synology,A,Non-Taxable Sales,1.00,"347,672.25","347,672.25"
Invoice,01/30/2026,AS011038,Information Technologies & Enterprise Sol,HDD:HAT3300-2T (Synology 2TB Plus Hard Drive),Hard Drive,A,Non-Taxable Sales,4.00,"41,816.25","167,265.00"
Invoice,01/30/2026,AS011038,Information Technologies & Enterprise Sol,HDD:400GB Syno SSD (400GB Synology SSD M.2),Hard Drive,A,Non-Taxable Sales,2.00,,
Invoice,01/30/2026,AS011039,Studio Focus,Accs (Accessories),Hardware,AD,Non-Taxable Sales,1.00,"35,000.00","35,000.00"
Invoice,01/31/2026,AS011040,Mahendra Fernando,Accs (Accessories),Hardware,AS,Non-Taxable Sales,1.00,"8,850.00","8,850.00"
Invoice,01/31/2026,AS011041,Fentons Ltd,Acronis:Acronis Cyber Protect Home Offi (Acronis Cyber Protect Home Office),Acronics,A,Taxable Sales,1.00,"33,000.00","33,000.00"
Invoice,02/02/2026,AS011042,DATAVERSE IT SOLUTIONS (PVT)LTD,BDCOM:S1500-24P2S (BDCOM S1500-24P2S Switch),BDCOM,AR,Non-Taxable Sales,1.00,"67,850.00","67,850.00"
Credit Memo,02/03/2026,AS00124,CNMS Holdings (Pvt) Ltd,Draytek:Vigor 2927 (Draytek Vigor 2927 Security Appliance. Dual Wan),Draytek,,Taxable Sales,-1.00,"64,000.00","-64,000.00"
Credit Memo,02/03/2026,AS00124,CNMS Holdings (Pvt) Ltd,Implementation & configuration,Support and Maintenance,,Taxable Sales,-1.00,"15,000.00","-15,000.00"
Invoice,02/03/2026,AS011043,Pretec Systems,BDCOM:WAP2100-WG300 (BDCOM WAP2100-WG300 Wireless Router),BDCOM,AR,Non-Taxable Sales,1.00,"6,000.00","6,000.00"
Invoice,02/03/2026,AS011044,Barclays Computers (Pvt) Ltd,BDCOM:WAP2100-T618 (BDCOM WAP2100-T618),BDCOM,AR,Taxable Sales,2.00,"22,000.00","44,000.00"
Credit Memo,02/05/2026,AS00125,T&D Associates,RAM,Hardware,,Non-Taxable Sales,-1.00,"47,200.00","-47,200.00"
Invoice,02/05/2026,AS011045,MTV Channel (Pvt) Ltd,HDD:2TB SSD EVo (2TB Samsung 870 Evo SATA SSDs),Hard Drive,AS,Taxable Sales,2.00,"102,000.00","204,000.00"
Invoice,02/06/2026,AS011046,Barclays Computers (Pvt) Ltd,BDCOM:S1000-8P2F (BDCOM POE S1000-8P2F  8Port 100M Switch),BDCOM,AR,Taxable Sales,3.00,"7,000.00","21,000.00"
Invoice,02/06/2026,AS011046,Barclays Computers (Pvt) Ltd,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,AR,Taxable Sales,2.00,"16,950.00","33,900.00"
Invoice,02/06/2026,AS011047,J Teem Solutions,BDCOM:GSFP-LX-10-D (BDCOM 1GE SFP Single-mode),BDCOM,AR,Non-Taxable Sales,4.00,"4,700.00","18,800.00"
Invoice,02/09/2026,AS011048,Techtron Integrated Solutions (Pvt) Ltd,HDD:4TB Ent Toshiba (4TB Enterprise Toshiba HDD),Hard Drive,AS,Taxable Sales,1.00,"67,000.00","67,000.00"
Invoice,02/10/2026,AS011049,A-Networks (Pvt) Ltd,Synology:DS1825+ (Synology Disktation DS1825+ NAS Unit),Synology,AD,Taxable Sales,1.00,"379,000.00","379,000.00"
Invoice,02/10/2026,AS011049,A-Networks (Pvt) Ltd,HDD:HAT3310-12T (12TB Synology Plus HDD),Hard Drive,AD,Taxable Sales,6.00,"132,000.00","792,000.00"
