,,,Trans #,,Type,,Date,,Num,,Name,,Memo,,Due Date,,Paid Through,,Item,,Item Description,,Account,,Class,,Rep,,Sales Tax Code,,Clr,,Split,,Paid,,Pay Meth,,Aging,,Qty,,Sales Price,,Amount,,Balance,,Account Type,,Avg Days to Pay,,Paid Date,,Check #,,Paycheck Date,,Pay Period,,Amount Paid
"Dec 31, '23 - Mar 31, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"7,174",,Invoice,,01/31/2024,,AS010038,,Base Hp (Pvt) Ltd,,Synology Camera License Pack 1 & I/O modules,,01/31/2024,,,,Synology:License Pack 1 (Synology Camera License Pack 1),,Synology Camera License Pack 1,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"16,000.00",,"32,000.00",,"3,676,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,Synology NAS RS3621xs+ 12 Bay NAS with 32GB  RAM,,02/02/2024,,,,Synology:RS3621xs+ (Synology NAS RS3621xs+ 12 Bay NAS),,Synology NAS RS3621xs+ 12 Bay NAS,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"2,505,000.00",,"2,505,000.00",,"6,181,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,Synology M2D20 Adapter Card,,02/02/2024,,,,Synology:M2D20 (Synology M2D20 Adapter Card),,Synology M2D20 Adapter Card,,Hardware,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"6,181,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,Synology SNV3510-800G Synology NVMe SSD,,02/02/2024,,,,Synology:SNV3510-800G (Synology SNV3510-800G Synology NVme SSD),,Synology SNV3510-800G Synology NVme SSD,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,,,,,"6,181,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,12TB Synology Enterprise SATA,,02/02/2024,,,,HDD:12TB Syno Ent (12TB Synology Enterprise SATA),,12TB Synology Enterprise SATA,,Hard Drive,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,5.00,,"188,000.00",,"940,000.00",,"7,121,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,McAfree Antivirus License ( 5 Years Subscription),,02/02/2024,,,,Software:McAfee Anti-Virus (McAfee Anti-virus License),,McAfee Anti-virus License,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"50,000.00",,"50,000.00",,"7,171,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,2 U Rail Kit  ,,02/02/2024,,,,Synology:2 U Sliding Rail Kit,,,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"7,171,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,Discount,,02/02/2024,,,,Discount,,,,Sales Discount,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,,,"-20,000.00",,"-20,000.00",,"7,151,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,TE SFP+ SX 10G Multi-Mode,,02/02/2024,,,,BDCOM:SFP+ SX,,,,BDCOM,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,,,,,"7,151,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,274",,Invoice,,02/02/2024,,AS010039,,Data Management Systems (Pvt) Limited,,Dual Port E10G21-F2 - Adapter Card,,02/02/2024,,,,Synology:Dual Port F2 Card,,,,Synology,,Sal:RS,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"7,151,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,279",,Invoice,,02/05/2024,,AS010040,,Apex Business Solutions PVT Ltd.,,Synology NAS DS1821+ 8 Bay NAS,,02/05/2024,,,,Synology:DS1821+ (Synology NAS DS1821+ 8 Bay NAS),,Synology NAS DS1821+ 8 Bay NAS,,Synology,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"424,000.00",,"424,000.00",,"7,575,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,279",,Invoice,,02/05/2024,,AS010040,,Apex Business Solutions PVT Ltd.,,Synology 8TB NAS Hard Drive,,02/05/2024,,,,HDD:HAT3310-8T (Synology 8TB Plus Hard Drive),,Synology 8TB Plus Hard Drive,,Hard Drive,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,3.00,,"86,000.00",,"258,000.00",,"7,833,026.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,281",,Invoice,,02/05/2024,,AS010041,,SANASA Media Networks (Pvt) Ltd,,10 TB Seagate Ironwolf NAS Hard Drive,,02/05/2024,,,,HDD:10 TB NAS (10 TB Seagate Ironwolf NAS Hard Drive),,10 TB Seagate Ironwolf NAS Hard Drive,,Hard Drive,,Sal:EC,,A,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"162,840.00",,"325,680.00",,"8,158,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,282",,Invoice,,02/05/2024,,AS010042,,Softlogic Information Technologies (Pvt),,Synology DS423 4 Bay NAS,,02/05/2024,,,,Synology:DS423 (Synology DS423 4 Bay NAS),,Synology DS423 4 Bay NAS,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"164,000.00",,"164,000.00",,"8,322,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,282",,Invoice,,02/05/2024,,AS010042,,Softlogic Information Technologies (Pvt),,Synology 4TB NAS HDD,,02/05/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"45,000.00",,"90,000.00",,"8,412,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,282",,Invoice,,02/05/2024,,AS010042,,Softlogic Information Technologies (Pvt),,Synology DS423 4 Bay NAS,,02/05/2024,,,,Synology:DS423 (Synology DS423 4 Bay NAS),,Synology DS423 4 Bay NAS,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"164,000.00",,"164,000.00",,"8,576,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,282",,Invoice,,02/05/2024,,AS010042,,Softlogic Information Technologies (Pvt),,Synology 4TB NAS HDD,,02/05/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"45,000.00",,"90,000.00",,"8,666,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,288",,Invoice,,02/07/2024,,AS010043,,Sahasra Studio Pvt Ltd,,4 TB Seagate Ironwolf NAS Hard Drive,,02/07/2024,,,,HDD:4 TB NAS HDD (4 TB Seagate Ironwolf NAS Hard Drive),,4 TB Seagate Ironwolf NAS Hard Drive,,Hard Drive,,Sal:EC,,AD,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"59,000.00",,"59,000.00",,"8,725,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,303",,Invoice,,02/08/2024,,AS010044,,VS Information Systems (Pvt) Ltd,,Synology Rackstation RS822RP+,,02/08/2024,,,,Synology:RS822RP+ (Synology Rackstation RS822RP+),,Synology Rackstation RS822RP+,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"485,000.00",,"485,000.00",,"9,210,706.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,303",,Invoice,,02/08/2024,,AS010044,,VS Information Systems (Pvt) Ltd,,Synology 4TB NAS HDD,,02/08/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,3.00,,"45,500.00",,"136,500.00",,"9,347,206.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,303",,Invoice,,02/08/2024,,AS010044,,VS Information Systems (Pvt) Ltd,,1U Rail Kit,,02/08/2024,,,,Synology:1 U Fixed Rail Kit,,,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"9,347,206.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,307",,Invoice,,02/09/2024,,AS010045,,Base Hp (Pvt) Ltd,,Synology DiskStation DS423+ 4Bay,,01/31/2024,,,,Synology:DS423+ (Synology DiskStation DS423+ 4Bay),,Synology DiskStation DS423+ 4Bay,,Synology,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"154,000.00",,"154,000.00",,"9,501,206.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,307",,Invoice,,02/09/2024,,AS010045,,Base Hp (Pvt) Ltd,,Synology 6TB NAS Hard Drive,,01/31/2024,,,,HDD:HAT3300-6T (Synology 6TB Plus Hard Drive),,Synology 6TB Plus Hard Drive,,Hard Drive,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,2.00,,"68,000.00",,"136,000.00",,"9,637,206.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,308",,Invoice,,02/09/2024,,AS010046,,KBSL Information Technologies Ltd,,Maintenance  Agreement for Warranty Extension,,02/09/2024,,,,MA (Maintenance  Agreement),,Maintenance  Agreement,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"1,551,240.00",,"1,551,240.00",,"11,188,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,309",,Invoice,,02/12/2024,,AS010047,,Data Management Systems (Pvt) Limited,,Synology Rackstation RS822RP+,,02/09/2024,,,,Synology:RS822RP+ (Synology Rackstation RS822RP+),,Synology Rackstation RS822RP+,,Synology,,Sal:RS,,SA,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"835,000.00",,"835,000.00",,"12,023,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,309",,Invoice,,02/12/2024,,AS010047,,Data Management Systems (Pvt) Limited,,Synology 6TB NAS Hard Drive,,02/09/2024,,,,HDD:HAT3300-6T (Synology 6TB Plus Hard Drive),,Synology 6TB Plus Hard Drive,,Hard Drive,,Sal:RS,,SA,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,4.00,,,,,,"12,023,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,309",,Invoice,,02/12/2024,,AS010047,,Data Management Systems (Pvt) Limited,,1U Rail Kit,,02/09/2024,,,,Synology:1 U Fixed Rail Kit,,,,Synology,,Sal:RS,,SA,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"12,023,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,310",,Invoice,,02/12/2024,,AS010048,,Data Management Systems (Pvt) Limited,,Synology Rackstation RS822RP+ 32GB RAM 4Bay,,02/12/2024,,,,Synology:RS822RP+ (Synology Rackstation RS822RP+),,Synology Rackstation RS822RP+,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"872,000.00",,"872,000.00",,"12,895,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,310",,Invoice,,02/12/2024,,AS010048,,Data Management Systems (Pvt) Limited,,Synology 4TB NAS HDD,,02/12/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,4.00,,,,,,"12,895,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,310",,Invoice,,02/12/2024,,AS010048,,Data Management Systems (Pvt) Limited,,1U Rail Kit,,02/12/2024,,,,Synology:1 U Fixed Rail Kit,,,,Synology,,Sal:RS,,A,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,,,,,"12,895,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,328",,Invoice,,02/14/2024,,AS010049,,Apex Business Solutions PVT Ltd.,,"BDCOM S1516v1 Unmanaged 1Gb, 16 port  Switch",,02/14/2024,,,,"BDCOM:S1516v1 (BDCOM S1516v1 Unmanaged 1Gb, 16 port  Switch)",,"BDCOM S1516v1 Unmanaged 1Gb, 16 port  Switch",,BDCOM,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"24,000.00",,"24,000.00",,"12,919,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,353",,Invoice,,02/19/2024,,AS010050,,I M Solutions,,Synology 4TB NAS HDD,,02/19/2024,,,,HDD:HAT3300-4T (Synology 4TB Plus HDD),,Synology 4TB Plus HDD,,Hard Drive,,Sal:RS,,AD,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"43,000.00",,"43,000.00",,"12,962,446.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,358",,Invoice,,02/21/2024,,AS010051,,AL - ARAF HOTELS & RESORT (PVT) LTD,,Hosting charges for 10 email Accounts (10$),,02/21/2024,,,,Hosting (Hosting),,Hosting,,Support and Maintenance,,Sal:EC,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"3,157.50",,"3,157.50",,"12,965,604.29",,Income,,0.00,,,,,,,,,,0.00
,,,"7,359",,Invoice,,02/21/2024,,AS010052,,LANKA COMMODITY BROKERS LTD,,7GB Storage Space  100GB Transfer Bandwidth  1 Nos Fixed IP. (Clean)  SPF/ DKIM Supported  Spam ...,,02/21/2024,,,,Host Email,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"19,251.28",,"19,251.28",,"12,984,855.57",,Income,,0.00,,,,,,,,,,0.00
,,,"7,360",,Invoice,,02/21/2024,,AS010053,,LANKA COMMODITY BROKERS LTD,,Anti Spam Service,,02/21/2024,,,,Services,,,,Support and Maintenance,,Mnt,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"7,015.97",,"7,015.97",,"12,991,871.54",,Income,,0.00,,,,,,,,,,0.00
,,,"7,361",,Invoice,,02/21/2024,,AS010054,,LANKA MOUNT CASTLE (PVT) LTD,,20GB Storage Capacity with 30 Email Accounts,,02/21/2024,,,,Host Email,,,,Support and Maintenance,,Mnt,,AS,,Non-Taxable Sales,,,,Accounts Receivable,,Unpaid,,,,799,,1.00,,"18,629.25",,"18,629.25",,"13,010,500.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,362",,Invoice,,02/22/2024,,AS010055,,LK Domain Registry,,Acronis Cyber Protect Home Office Essential Subscription   5 Computers - 1 Year Subscription ESD  ,,02/22/2024,,,,Acronis:Acronis Cyber Protect Home Offi (Acronis Cyber Protect Home Office),,Acronis Cyber Protect Home Office,,Acronics,,Sal:EC,,AS,,Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,1.00,,"33,500.00",,"33,500.00",,"13,044,000.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,372",,Credit Memo,,02/22/2024,,AS010058,,Avian,,Synology DS423 4 Bay NAS,,02/22/2024,,,,Synology:DS423 (Synology DS423 4 Bay NAS),,Synology DS423 4 Bay NAS,,Synology,,Sal:RS,,,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,-1.00,,"165,000.00",,"-165,000.00",,"12,879,000.79",,Income,,0.00,,,,,,,,,,0.00
,,,"7,372",,Credit Memo,,02/22/2024,,AS010058,,Avian,,2 TB Seagate Ironwolf NAS Hard Drive,,02/22/2024,,,,HDD:2 TB NAS (2 TB Seagate Ironwolf NAS Hard Drive),,2 TB Seagate Ironwolf NAS Hard Drive,,Hard Drive,,Sal:RS,,,,Non-Taxable Sales,,,,Accounts Receivable,,Paid,,,,,,-4.00,,"41,000.00",,"-164,000.00",,"12,715,000.79",,Income,,0.00,,,,,,,,,,0.00
