CustomerName,InvoiceNum,PaymentDate,ReferenceNum,Amount,PaymentMethod,DepositToAccount,Memo,UnusedPayment
STATEMAN HATS (Pvt) LTD.,AS005442,2014-09-22,775861,3000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005443,2014-09-22,775861,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005451,2014-09-22,775861,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005462,2014-09-22,775861,2000.00,Check,Undeposited Funds,,0.00
JAY JAY MILLS LANKA (PVT) LTD,AS005547,2014-09-22,269072,70700.00,Check,Undeposited Funds,,0.00
Just in Time Holdings (Pvt) Ltd,AS005548,2014-09-25,043837,145440.00,Check,Undeposited Funds,,0.00
ABC TRADE & INVESTMENTS (PVT) LTD,AS005520,2014-09-25,543607,59000.00,Check,Undeposited Funds,,0.00
CSN,AS005551,2014-09-25,360749,422500.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005298,2014-09-25,,30000.00,Check,Undeposited Funds,,0.00
Mr.Buddhika,AS005528,2014-10-06,,8000.00,Cash,Undeposited Funds,,0.00
MACSON MESH,AS005444,2014-10-09,008088,6000.00,Check,Undeposited Funds,,0.00
MACSON MESH,AS005457,2014-10-09,008088,15000.00,Check,Undeposited Funds,,0.00
Thakral One (Pvt) Ltd,AS005527,2014-10-10,655269,27270.00,Check,Undeposited Funds,,0.00
NOLIMIT,AS005535,2014-10-10,577199,30000.00,Check,Undeposited Funds,,0.00
NOLIMIT,AS005540,2014-10-10,577199,30000.00,Check,Undeposited Funds,,0.00
The Institute of Chartered Accountants,AS005525,2014-10-10,244410,90000.00,Check,Undeposited Funds,,0.00
VS Information Systems (Pvt) Ltd,AS005550,2014-10-15,346562,29290.00,Check,Undeposited Funds,,0.00
NOLIMIT,AS005563,2014-10-15,577230,655000.00,Check,Undeposited Funds,,0.00
CSN,AS005551,2014-10-15,267243,422500.00,Check,Undeposited Funds,,0.00
Studio Lakdam,AS005561,2014-10-15,850140,20200.00,Check,Undeposited Funds,,0.00
Eureka Technology Partners (Pvt)Ltd,AS005544,2014-10-15,590330,59800.00,Check,Undeposited Funds,,0.00
DTech (Pvt) Ltd,AS005541,2014-10-15,244808,80000.00,Check,Undeposited Funds,,0.00
DB Automation (Pvt) Ltd,AS005526,2014-10-20,013299,108070.00,Check,Undeposited Funds,,0.00
CCS Lanka Pvt Ltd,AS005524,2014-10-20,961466,35350.00,Check,Undeposited Funds,,0.00
Richardson Projects,AS005552,2014-10-20,410879,9000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005559,2014-10-20,838661,59200.00,Check,Undeposited Funds,,0.00
Shermans Logistics (pvt) Ltd,AS005565,2014-10-20,780008,18000.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS005505,2014-10-22,838638,35100.00,Check,Undeposited Funds,,0.00
KAMINSKI. C/o STATESMAN HATS (PVT) LTD.,AS005531,2014-10-22,838638,2000.00,Check,Undeposited Funds,,0.00
FITIS,AS005282,2014-10-28,,94700.00,Check,Undeposited Funds,,0.00
FITIS,AS005583,2014-10-28,,102816.00,Check,Undeposited Funds,,0.00
Hiran Wickramanayake,AS005307,2014-10-28,,1000.00,Check,Undeposited Funds,,0.00
Tea Tang (Pvt) Ltd,AS005554,2014-11-03,74872,60600.00,Check,Undeposited Funds,,0.00
VS Information Systems (Pvt) Ltd,AS005562,2014-11-03,414373,29290.00,Check,Undeposited Funds,,0.00
Studio Lakdam,AS005566,2014-11-03,850139,34000.00,Check,Undeposited Funds,,0.00
Nawaloka Construction Company Limited,AS005530,2014-11-03,165046,45450.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005472,2014-11-04,925087,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005483,2014-11-04,925087,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005484,2014-11-04,925087,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005485,2014-11-04,925087,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005486,2014-11-04,925087,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005511,2014-11-04,925087,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005512,2014-11-04,925087,2000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005513,2014-11-04,925087,6000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005515,2014-11-04,925087,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005538,2014-11-04,925087,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005557,2014-11-04,925087,169500.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005532,2014-11-04,,72000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005556,2014-11-04,,183300.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005558,2014-11-04,,22500.00,Check,Undeposited Funds,,0.00
Mr.Buddhika,AS005555,2014-11-04,,8000.00,Cash,Undeposited Funds,,0.00
Finlays Colombo PLC,AS005560,2014-11-05,966524,42420.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005539,2014-11-05,713516,15000.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005568,2014-11-05,713516,15000.00,Check,Undeposited Funds,,0.00
Sri Lanka Insurance Coporation ltd.,AS005570,2014-11-10,074784,20000.00,Check,Undeposited Funds,,0.00
ABC TRADE & INVESTMENTS (PVT) LTD,AS005520,2014-11-12,543608 -543609,59000.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005581,2014-11-12,606967,71000.00,Check,Undeposited Funds,,0.00
REGENT FINE JEWELS,AS005584,2014-11-13,,44000.00,Check,Undeposited Funds,,0.00
AG International (PTE)Ltd,AS005580,2014-11-17,905829,65650.00,Check,Undeposited Funds,,0.00
Ceylinco Insurance Co. Ltd.,AS005601,2014-11-19,,155529.90,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005482,2014-11-20,607053,36590.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005514,2014-11-20,607053,36590.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005537,2014-11-20,607053,36590.00,Check,Undeposited Funds,,0.00
Wadduwa Resorts (Pvt) Ltd,AS005536,2014-11-24,226739,64640.00,Check,Undeposited Funds,,0.00
Studio Lakdam,AS005553,2014-11-24,"096458,096460",99000.00,Check,Undeposited Funds,,0.00
CSN,AS005614,2014-11-27,462779,705500.00,Check,Undeposited Funds,,0.00
HNB ASSUARANCE,AS005582,2014-11-27,135991,436320.00,Check,Undeposited Funds,,0.00
HNB ASSUARANCE,AS005600,2014-11-27,135991,136350.00,Check,Undeposited Funds,,0.00
Barclays Computers (Pvt) Ltd,AS005572,2014-12-01,,27000.00,Cash,Undeposited Funds,,0.00
Mountcastle Pty Ltd,AS005607,2014-12-01,,99000.00,Check,Undeposited Funds,,0.00
Mountcastle Pty Ltd,AS005612,2014-12-01,,33000.00,Check,Undeposited Funds,,0.00
Mountcastle Pty Ltd AUS,AS005573,2014-12-01,,124000.00,Check,Undeposited Funds,,0.00
NOLIMIT,AS005613,2014-12-08,612071,192500.00,Check,Undeposited Funds,,0.00
Softlogic Retail (Pvt)Ltd,AS005615,2014-12-08,179265,241592.00,Check,Undeposited Funds,,0.00
APL,AS005611,2014-12-11,112903,20000.00,Check,Undeposited Funds,,0.00
Rangiri Sri Lanka Media Network,AS005571,2014-12-11,,1076000.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005619,2014-12-17,607252,80598.00,Check,Undeposited Funds,,0.00
And Beyond,AS005631,2014-12-17,214150,212605.00,Check,Undeposited Funds,,0.00
NOLIMIT,AS005608,2014-12-19,612098,30000.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005606,2014-12-26,715226,15000.00,Check,Undeposited Funds,,0.00
Sri Lanka Insurance Coporation ltd.,AS005633,2014-12-26,077725,15000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005502,2014-12-30,501487,31293.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005503,2014-12-30,501487,31293.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005504,2014-12-30,501487,31293.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005596,2014-12-30,501487,4000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005597,2014-12-30,501487,6000.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005598,2014-12-30,501487,4000.00,Check,Undeposited Funds,,0.00
Asiri,AS005617,2014-12-30,002153,32320.00,Check,Undeposited Funds,,0.00
LANKA MOUNT CASTLE (PVT) LTD,AS005626,2014-12-30,716797,53067.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005301,2014-12-30,501252,59200.00,Check,Undeposited Funds,,0.00
Mr.Dhanushka,AS005647,2015-01-06,,25000.00,Cash,Undeposited Funds,,0.00
MICROCELLS LTD,AS005627,2015-01-06,,18000.00,Check,Undeposited Funds,,0.00
Ace Apparels (Pvt) Ltd,AS005618,2015-01-12,759957,142410.00,Check,Undeposited Funds,,0.00
AG International (PTE)Ltd,AS005623,2015-01-12,974290,30300.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005639,2015-01-19,568090,114950.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005569,2015-01-19,568090,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005604,2015-01-19,568090,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005349,2015-01-19,5639,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005433,2015-01-19,568090,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005629,2015-01-19,568090,17200.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005327,2015-01-19,568090,17200.00,Check,Undeposited Funds,,0.00
Isoft Infosys,AS005625,2015-01-22,451513,31310.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005637,2015-01-23,629346,67200.00,Check,Undeposited Funds,,0.00
David Pierise Information Technologies Lt,AS005620,2015-01-23,420233,58949.50,Check,Undeposited Funds,,0.00
SLTS,AS005609,2015-01-23,264943 - 264944,383800.00,Check,Undeposited Funds,,0.00
SL - Virtusa World,AS005610,2015-01-23,,335000.00,Check,Undeposited Funds,,0.00
Asiri,AS005616,2015-01-23,002280,65326.80,Check,Undeposited Funds,,0.00
Eureka Technology Partners (Pvt)Ltd,AS005636,2015-01-29,623739,59000.00,Check,Undeposited Funds,,0.00
HNB ASSUARANCE,AS005640,2015-01-29,224076,45450.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005221,2015-01-30,,4000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005222,2015-01-30,,4000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005250,2015-01-30,,2000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005299,2015-01-30,,2000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005427,2015-01-30,,4000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005429,2015-01-30,,2000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005447,2015-01-30,,4000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005460,2015-01-30,,2000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005488,2015-01-30,,2000.00,Check,Undeposited Funds,,0.00
Synergy Ventures,AS005593,2015-01-30,,27000.00,Check,Undeposited Funds,,0.00
Fazaal Ceramics,AS005586,2015-01-30,,12000.00,Check,Undeposited Funds,,0.00
Fazaal Ceramics,AS005589,2015-01-30,,3000.00,Check,Undeposited Funds,,0.00
Fazaal Ceramics,AS005590,2015-01-30,,3000.00,Check,Undeposited Funds,,0.00
Fazaal Ceramics,AS005588,2015-01-30,,3000.00,Check,Undeposited Funds,,0.00
Fazaal Ceramics,AS005587,2015-01-30,,6000.00,Check,Undeposited Funds,,0.00
ebase asia,AS005641,2015-02-06,011474,29729.35,Check,Undeposited Funds,,0.00
Entrust & Title,AS005643,2015-02-06,217625,3000.00,Check,Undeposited Funds,,0.00
Rangiri Sri Lanka Media Network,AS005579,2015-02-06,,30000.00,Check,Undeposited Funds,,0.00
Rangiri Sri Lanka Media Network,AS005622,2015-02-06,,30000.00,Check,Undeposited Funds,,0.00
Miami Exports (Pvt) Ltd,AS005585,2015-02-09,162655,657500.00,Check,Undeposited Funds,,0.00
Cape Weligama (Pvt)Ltd,AS005646,2015-02-09,800190,95950.00,Check,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005564,2015-02-09,568250,110000.00,Check,Undeposited Funds,,0.00
Globe Mirror Industries (pvt) Ltd,AS005630,2015-02-10,024266,34845.00,Check,Undeposited Funds,,0.00
ATG Ceylon (Pvt) Ltd,,2015-02-10,,0,Check,Undeposited Funds,cancelled invoice,0.00
Sarasavi Publishers (Pvt) Ltd,AS005688,2015-02-16,055103,191900.00,Check,Undeposited Funds,,0.00
Open Systems Integrators,AS005659,2015-02-18,048477,331280.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005632,2015-02-18,958218 - 958212,15000.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005649,2015-02-18,958218 - 958212,15000.00,Check,Undeposited Funds,,0.00
David Pierise Information Technologies Lt,AS005658,2015-02-18,432175,83830.00,Check,Undeposited Funds,,0.00
DP Technologies (pvt) Ltd,AS005651,2015-02-18,432175,10500.00,Check,Undeposited Funds,,0.00
Ceylinco Insurance Co. Ltd.,AS005699,2015-02-24,5699,153924.00,Check,Undeposited Funds,,0.00
CSN,AS005614,2015-02-24,488778,352750.00,Check,Undeposited Funds,,0.00
Sri Lanka Insurance Coporation ltd.,AS005682,2015-02-24,5682,72000.00,Check,Undeposited Funds,,0.00
BLMM,AS005706,2015-03-04,634828,22725.00,Check,Undeposited Funds,,0.00
Open Systems Integrators,AS005648,2015-03-04,048462,117412.50,Check,Undeposited Funds,,0.00
Nawaloka Construction Company Limited,AS005642,2015-03-04,215165,87870.00,Check,Undeposited Funds,,0.00
Embassy Of Italy in Sri Lanka and Maldive,AS005704,2015-03-04,718846,81665.00,Check,Undeposited Funds,,0.00
Empire Leather,AS005709,2015-03-04,,750.00,Cash,Undeposited Funds,,0.00
Merbok MDF Lanka (Pvt) Ltd,AS005689,2015-03-06,974353,112110.00,Cash,Undeposited Funds,,0.00
Merbok MDF Lanka (Pvt) Ltd,AS005713,2015-03-06,974353,20000.00,Check,Undeposited Funds,,0.00
Merbok MDF Lanka (Pvt) Ltd,AS005693,2015-03-09,974353,3030.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS005677,2015-03-10,770158,2000.00,Check,Undeposited Funds,,0.00
MUSLIM AID,AS005678,2015-03-10,770158,2000.00,Check,Undeposited Funds,,0.00
Redline Technologies,AS005701,2015-03-12,239079,153000.00,Check,Undeposited Funds,,0.00
Power House - Derana,AS005644,2015-03-12,626304,18000.00,Check,Undeposited Funds,,0.00
China Harbour Engineering Company Ltd,AS005708,2015-03-18,077499,411000.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005605,2015-03-18,629644,36590.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005628,2015-03-18,629644,36590.00,Check,Undeposited Funds,,0.00
LANKA COMMODITY BROKERS LTD,AS005657,2015-03-18,629644,36590.00,Check,Undeposited Funds,,0.00
"ASIAN ALLIANCE INSURANCE CO LTD.,",AS005687,2015-03-18,958304,15000.00,Check,Undeposited Funds,,0.00
IWMI International Water Management Insti,AS005720,2015-03-18,512105,526800.00,Check,Undeposited Funds,,0.00
Softlogic Retail (Pvt) Ltd.,AS005711,2015-03-18,237141,747400.00,Check,Undeposited Funds,,0.00
Mountcastle Pty Ltd,AS005707,2015-03-19,,562500.00,Check,Undeposited Funds,,0.00
CCS Lanka Pvt Ltd,AS005715,2015-03-30,244699,217150.00,Check,Undeposited Funds,,0.00
DP Technologies (pvt) Ltd,AS005697,2015-03-30,432261,10500.00,Check,Undeposited Funds,,0.00
Janashakthi Insurance Plc,AS005683,2015-03-30,941434,435310.00,Check,Undeposited Funds,,0.00
HNB ASSUARANCE,AS005624,2015-03-30,277986,247450.00,Check,Undeposited Funds,,0.00
Mr.Chamindu,AS005737,2015-03-30,,34340.00,Cash,Undeposited Funds,,0.00
Dil Cinema,AS005702,2015-04-02,,42000.00,Cash,Undeposited Funds,,0.00
STATEMAN HATS (Pvt) LTD.,AS005650,2015-04-20,750087,17200.00,Check,Undeposited Funds,,0.00
